Cue,Answer,cue_height,cue_width,btn_width,instruct_1,responses_1,instruct_2,responses_2,instruct_3,responses_3,
AF_BW_JPEG/AF01_BW/AF01_CC.jpg,Apple,600px,600px,150px,What ethnicity does this look most like to you? beep,African|Caucasian|East Asian|South Asian|Other,How Confident are you in this judgement,1|2|3|4|5|6|7,,,
AF_BW_JPEG/AF02_BW/AF02_CC.jpg,Apple,600px,600px,150px,What ethnicity does this look most like to you? beep,African|Caucasian|East Asian|South Asian|Other,How Confident are you in this judgement,1|2|3|4|5|6|8,,,
AF_BW_JPEG/AF03_BW/AF03_CC.jpg,Apple,600px,600px,150px,What ethnicity does this look most like to you? beep,African|Caucasian|East Asian|South Asian|Other,How Confident are you in this judgement,1|2|3|4|5|6|9,,,
AF_BW_JPEG/AF04_BW/AF04_CC.jpg,Apple,600px,600px,150px,What ethnicity does this look most like to you? beep,African|Caucasian|East Asian|South Asian|Other,How Confident are you in this judgement,1|2|3|4|5|6|10,,,
AF_BW_JPEG/AF05_BW/AF05_CC.jpg,Apple,600px,600px,150px,What ethnicity does this look most like to you? beep,African|Caucasian|East Asian|South Asian|Other,How Confident are you in this judgement,1|2|3|4|5|6|11,,,
AF_BW_JPEG/AF06_BW/AF06_CC.jpg,Apple,600px,600px,150px,What ethnicity does this look most like to you? beep,African|Caucasian|East Asian|South Asian|Other,How Confident are you in this judgement,1|2|3|4|5|6|12,,,
AF_BW_JPEG/AF07_BW/AF07_CC.jpg,Apple,600px,600px,150px,What ethnicity does this look most like to you? beep,African|Caucasian|East Asian|South Asian|Other,How Confident are you in this judgement,1|2|3|4|5|6|13,,,
AF_BW_JPEG/AF08_BW/AF08_CC.jpg,Apple,600px,600px,150px,What ethnicity does this look most like to you? beep,African|Caucasian|East Asian|South Asian|Other,How Confident are you in this judgement,1|2|3|4|5|6|14,,,
AF_BW_JPEG/AF09_BW/AF09_CC.jpg,Apple,600px,600px,150px,What ethnicity does this look most like to you? beep,African|Caucasian|East Asian|South Asian|Other,How Confident are you in this judgement,1|2|3|4|5|6|15,,,
,,,,,,,,,,,
